艾
爱
哀
茆 MAO
茅 MAO
毛 MAO 
冒 MAO
猫 MAO
卯 MAO
贸 MAO
茂 MAO 
鄮 MAO
美 MEI
眉 MEI
郿 MEI
枚 MEI 
没路真 MEI
美日 MEI
叱门 MEN
门 MEN
黾门 MEN 
蒙 MENG
孟 MENG
梦 MENG
糸 mi
麋 MI 
米 MI
宓 MI
芈 MI
弥 MI
祢 MI 
密 MI
糜 MI
弭 MI
秘 MI
米女 MI 
缪 MIA0
面 MIAN
棉 MIAN
淼 Miao
苗君 MIAO 
妙 MIAO
融 MIAO
苗 MIAO
达 MIAO
庙 MIAO 
繆 MIAO
秒 MIAO
蔑里乞 MIE
蔑 MIE
敏 MIN 
民 MIN
皿 MIN
黾 min
旻 MIN
闽 MIN 
閩 MIN
闵 MIN
缗 MíN
名 MING
茗 ming 
明 MING
谬 MIU
糸系 MIXI
莫折 MO
莫那娄 MO 
抹燃 MO
莫多娄 MO
木村 MO
蘑 MO
摩西 MO 
貊 mo
末 MO
麿 mo
魔 MO
莫 MO 
磨 MO
墨 MO
磨阝 MO
默 MO
抹撚 MO 
万俟 MO QI
穆 MU
牧 MU
牟 MU
睦 MU 
慕 MU
母 MU
沐 MU
木 MU
目 MU 
幕 MU
畝 mu
慕蓉 MU
姆 MU
母将 MU 
母邱 MU
牧野 MU
慕容 MU RONG 
那 NA
纳 NA 那金 NA
那拉 NA LA
纳喇 NA LA
能 NAI
佴 NAI 
迺 NAI
乃 NAI
奈 NAI
耐 NAI
纳兰 NALAN 
南郭 NAN
南 NAN
南荣 NAN
楠 NAN
难 NAN 
難 nan
南野 NAN
男 NAN
南里 NAN
南鄙 NAN 
南宫 NAN GONG
南门 NAN MEN
讷殷富察 NE YIN FU CHA
内史 NEI
兒 NI 
泥 NI
来 NI
倪 NI
逆 NI
伲 NI 
匿 NI
尼玛察哈拉 NI
霓 NI
尼 NI
念 NIAN 
年 NIAN
粘 NIAN
娘 NIANG
嬲 NIAO
聂 NIE 
乜 NIE
涅 NIE
蘖 nie
孽 NIE
臬 nie 
舊 NING
舃 NING
宁尔佳 NING
佞 NING
宁 NING(读阳平) 
甯 NING(去声简化字为宁)
钮 NIU
牛 NIU
狃 NIU
钮轱辘 NIU 
纽 NIU
纽咕禄 NIU
钮钴禄 NIU
纽咕噜 NIU
钮祜禄 NIU HU LU 
农 NONG
浓 NONG
侬 NONG
農 NONG
弄 NONG 
耨 nou
叱奴 NU
虐 NUE
傩 NUO
诺里埃加 NUO 
诺沃阿 NUO
女 NV 
2006-3-15 23:09 奕辰
区 OU
殴 OU
藕 OU
區 OU
偶 OU
欧文 OU
歐 OU
歐陽 OU YANG 
爬 PA
